Radiokallesignal (ERS);mmsi
LKJE;257107120
LLRK;259203000
LM7682;257386320
LKUA;257388000
LCMN;257250000
LIQO;259475000
LLQM;259129000
JWNI;259132000
LJZO;257541600
LDGS;258637000
LCNN;258654000
LMFG;257866500
LHEA;259166000
LM4000;257245220
LMKD;257629500
LDXH;258425000
LCDZ;257714500
LIFA;259374000
JXMK;257842500
LCUF;257757000
JXSD;257880500
LJTV;259660000
LMCW;257584600
LJYA;259651000
LFTI;257685800
LDFB;258991000
3YVG;257032500
LHAJ;257436500
LM3501;257231620
LMOV;257595600
LLWG;257578600
LCOJ;257815000
LMWF;257234000
LGIF;258290000
LJSY;259620000
LM3699;257237420
LDHW;259253000
LKOO;257138000
LMFZ;259281000
LFGX;257927000
LK5538;257008740
LMZR;257219000
LLJD;258078000
LHSP;259295000
LHXV;258360000
LJYT;259635000
LCCS;257688500
LJXU;257450500
LNGJ;257577500
JXSK;257448500
LHHY;257689500
LK2103;257119940
LK3109;257145820
LGWK;258265000
LNAM;257104940
LDIW;257850500
LM6137;257773500
JWZQ;258074000
LLGZ;257180000
LAMB;257570500
JWPD;257650500
LEDC;258569000
LK4544;257737500
LJNL;257458500
LM6677;257776500
LLMN;257678500
LMMI;257867500
LGSR;257817500
LDWS;257440500
LDAM;259245000
LIYA;257001340
LAGH;257229000
LCER;273410850
LMMF;257594600
LK2444;257860500
LICN;259350000
LM3902;257111240
LNAD;257783500
LLFY;259273000
LGML;259137000
LM3800;257671500
LEFE;257797700
LHNN;257101120
LJLR;257722500
LK2391;257122820
LM5463;257292620
LCLP;257806000
LNUE;257699500
LM4884;257269420
LAOM;257659500
LANV;258498000
LK3243;257149120
LEIA;257446500
LNKS;259525000
LIVI;259447000
LEAE;257911600
LHJE;257648500
LDFW;257072440
LAZH;461000003
3YKA;259855000
LLTI;257121000
LLRG;259209000
LEHG;258962000
LECG;258678000
LM3369;257227920
LDSX;257687800
LEHB;258552000
LEHW;257887600
LNSK;259539000
LAWR;258139000
LAHO6;257951000
LISK;259423000
LGPZ;258099000
LDNV;257786700
JXAC;257480500
LGFC;257574500
JXNI;259128000
LDZC;258797000
LAIJ;258084000
LLAQ;257071640
LELD;259292000
LEPW;259407000
LAWQ;258306000
LENJ;257015000
LESG;257001650
LKMY;257111140
LAYS;258141000
LEWL;257102000
LAHP6;257962000
LEQS;257168000
LEUM;257176000
LFBW;257209000
LEBW;257016650
LEBB;257123000
LEMD;257020390
JXSU;257328800
LELQ;257021970
LEHT;257110000
LNXH;257281000
LEGQ;257267000
LEXG;257104000
LFJF;257035960
LAHD6;257859000
